"subject","room_condition","target_distance","block","perc_dist_sd","perc_dist_sem","perc_dist_var","perc_dist_n","perc_dist","rel_bias_signed_sd","rel_bias_signed_sem","rel_bias_signed_var","rel_bias_signed_n","rel_bias_signed","rel_bias_unsigned_sd","rel_bias_unsigned_sem","rel_bias_unsigned_var","rel_bias_unsigned_n","rel_bias_unsigned","abs_bias_sd","abs_bias_sem","abs_bias_var","abs_bias_n","log_bias_sd","log_bias_sem","log_bias_var","log_bias_n","log_bias_m","log_bias_unsigned_sd","log_bias_unsigned_sem","log_bias_unsigned_var","log_bias_unsigned_n","log_bias_unsigned_m","experiment"
2,"Small VE",2,1,0.246644143115812,0.142400062421959,0.0608333333333333,3,0.216666666666667,0.123322071557906,0.0712000312109794,0.0152083333333333,3,-0.891666666666667,0.123322071557906,0.0712000312109794,0.0152083333333333,3,0.891666666666667,0.246644143115812,0.142400062421959,0.0608333333333333,3,0.51302666032916,0.296196080442496,0.263196354208492,3,-1.16838332610664,0.51302666032916,0.296196080442496,0.263196354208492,3,1.16838332610664,"1"
4,"Small VE",2,1,0.577350269189626,0.333333333333333,0.333333333333333,3,1.33333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,-0.333333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.333333333333333,0.577350269189626,0.333333333333333,0.333333333333333,3,0.173799749030751,0.100343331887994,0.0302063527631522,3,-0.200686663775987,0.173799749030751,0.100343331887994,0.0302063527631522,3,0.200686663775987,"1"
6,"Small VE",2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3,0,0,0,3,-0.602059991327962,0,0,0,3,0.602059991327962,"1"
8,"Small VE",2,1,0.288675134594813,0.166666666666667,0.0833333333333333,3,1.33333333333333,0.144337567297406,0.0833333333333333,0.0208333333333333,3,-0.333333333333333,0.144337567297406,0.0833333333333333,0.0208333333333333,3,0.333333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.101666335817738,0.0586970863518938,0.010336043838605,3,-0.183635822960194,0.101666335817738,0.0586970863518938,0.010336043838605,3,0.183635822960194,"1"
10,"Small VE",2,1,0.288675134594813,0.166666666666667,0.0833333333333333,3,1.16666666666667,0.144337567297406,0.0833333333333333,0.0208333333333333,3,-0.416666666666667,0.144337567297406,0.0833333333333333,0.0208333333333333,3,0.416666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.101666335817738,0.0586970863518938,0.010336043838605,3,-0.242332909312087,0.101666335817738,0.0586970863518938,0.010336043838605,3,0.242332909312087,"1"
13,"Small VE",2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.301029995663981,0,0,0,3,0.301029995663981,"1"
15,"Small VE",2,1,0.152752523165195,0.0881917103688197,0.0233333333333333,3,0.366666666666667,0.0763762615825973,0.0440958551844099,0.00583333333333333,3,-0.816666666666667,0.0763762615825973,0.0440958551844099,0.00583333333333333,3,0.816666666666667,0.152752523165195,0.0881917103688197,0.0233333333333333,3,0.207511790593763,0.119806988159331,0.0430611432354299,3,-0.76700999855466,0.207511790593763,0.119806988159331,0.0430611432354299,3,0.76700999855466,"1"
17,"Small VE",2,1,0,0,0,3,0.25,0,0,0,3,-0.875,0,0,0,3,0.875,0,0,0,3,0,0,0,3,-0.903089986991944,0,0,0,3,0.903089986991944,"1"
19,"Small VE",2,1,0.115470053837925,0.0666666666666667,0.0133333333333333,3,0.266666666666667,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,-0.866666666666667,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.866666666666667,0.115470053837925,0.0666666666666667,0.0133333333333333,3,0.173799749030751,0.100343331887994,0.0302063527631522,3,-0.899656668112006,0.173799749030751,0.100343331887994,0.0302063527631522,3,0.899656668112006,"1"
21,"Small VE",2,1,0.5,0.288675134594813,0.25,3,1.5,0.25,0.144337567297406,0.0625,3,-0.25,0.25,0.144337567297406,0.0625,3,0.25,0.5,0.288675134594813,0.25,3,0.151237604291255,0.0873170715491503,0.0228728129517583,3,-0.141989577424094,0.151237604291255,0.0873170715491503,0.0228728129517583,3,0.141989577424094,"1"
23,"Small VE",2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3,0,0,0,3,-0.602059991327962,0,0,0,3,0.602059991327962,"1"
25,"Small VE",2,1,0.476969600708473,0.275378527364305,0.2275,3,0.45,0.238484800354236,0.137689263682153,0.056875,3,-0.775,0.238484800354236,0.137689263682153,0.056875,3,0.775,0.476969600708473,0.275378527364305,0.2275,3,0.444033476266378,0.256362847051599,0.197165728045204,3,-0.80865624409076,0.444033476266378,0.256362847051599,0.197165728045204,3,0.80865624409076,"1"
27,"Small VE",2,1,0.288675134594813,0.166666666666667,0.0833333333333333,3,1.33333333333333,0.144337567297406,0.0833333333333333,0.0208333333333333,3,-0.333333333333333,0.144337567297406,0.0833333333333333,0.0208333333333333,3,0.333333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.101666335817738,0.0586970863518938,0.010336043838605,3,-0.183635822960194,0.101666335817738,0.0586970863518938,0.010336043838605,3,0.183635822960194,"1"
29,"Small VE",2,1,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.666666666666667,0.144337567297406,0.0833333333333333,0.0208333333333333,3,-0.666666666666667,0.144337567297406,0.0833333333333333,0.0208333333333333,3,0.666666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.173799749030751,0.100343331887994,0.0302063527631522,3,-0.501716659439969,0.173799749030751,0.100343331887994,0.0302063527631522,3,0.501716659439969,"1"
31,"Small VE",2,1,0.115470053837925,0.0666666666666667,0.0133333333333333,3,0.166666666666667,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,-0.916666666666667,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.916666666666667,0.115470053837925,0.0666666666666667,0.0133333333333333,3,0.275466084848489,0.159040418239887,0.075881563901755,3,-1.14198957742409,0.275466084848489,0.159040418239887,0.075881563901755,3,1.14198957742409,"1"
33,"Small VE",2,1,1.15470053837925,0.666666666666667,1.33333333333333,3,1.66666666666667,0.577350269189626,0.333333333333333,0.333333333333333,3,-0.166666666666667,0,0,0,3,0.5,0,0,0,3,0.275466084848489,0.159040418239887,0.075881563901755,3,-0.141989577424094,0.0721334132130137,0.0416462455361,0.00520322930175938,3,0.259383750127881,"1"
35,"Small VE",2,1,0.13228756555323,0.0763762615825973,0.0175,3,0.35,0.0661437827766148,0.0381881307912987,0.004375,3,-0.825,0.0661437827766148,0.0381881307912987,0.004375,3,0.825,0.13228756555323,0.0763762615825973,0.0175,3,0.156047853622669,0.0900942702955113,0.024350932620242,3,-0.776352906421408,0.156047853622669,0.0900942702955113,0.024350932620242,3,0.776352906421408,"1"
37,"Small VE",2,1,1,0.577350269189626,1,3,2,0.5,0.288675134594813,0.25,3,0,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.333333333333333,0.577350269189626,0.333333333333333,0.333333333333333,3,0.24127159022926,0.139298217566673,0.0582119802517561,3,-0.0416462455361,0.151237604291255,0.0873170715491503,0.0228728129517583,3,0.159040418239887,"1"
39,"Small VE",2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.301029995663981,0,0,0,3,0.301029995663981,"1"
41,"Small VE",2,1,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.833333333333333,0.144337567297406,0.0833333333333333,0.0208333333333333,3,-0.583333333333333,0.144337567297406,0.0833333333333333,0.0208333333333333,3,0.583333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.173799749030751,0.100343331887994,0.0302063527631522,3,-0.401373327551975,0.173799749030751,0.100343331887994,0.0302063527631522,3,0.401373327551975,"1"
43,"Small VE",2,1,0.0763762615825973,0.0440958551844098,0.00583333333333333,3,0.166666666666667,0.0381881307912987,0.0220479275922049,0.00145833333333333,3,-0.916666666666667,0.0381881307912987,0.0220479275922049,0.00145833333333333,3,0.916666666666667,0.0763762615825973,0.0440958551844098,0.00583333333333333,3,0.199407977826054,0.115128249676431,0.0397635416206762,3,-1.10968623975474,0.199407977826054,0.115128249676431,0.0397635416206762,3,1.10968623975474,"1"
45,"Small VE",2,1,0.5,0.288675134594813,0.25,3,2.5,0.25,0.144337567297406,0.0625,3,0.25,0.25,0.144337567297406,0.0625,3,0.25,0.5,0.288675134594813,0.25,3,0.088194247604073,0.0509189725951881,0.00777822531044853,3,0.0910004240212459,0.088194247604073,0.0509189725951881,0.00777822531044853,3,0.0910004240212459,"1"
47,"Small VE",2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.301029995663981,0,0,0,3,0.301029995663981,"1"
49,"Small VE",2,1,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.433333333333333,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,-0.783333333333333,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,0.783333333333333,0.0577350269189626,0.0333333333333334,0.00333333333333334,3,0.0559510220973715,0.0323033376693521,0.00313051687374055,3,-0.666666666666667,0.0559510220973715,0.0323033376693521,0.00313051687374055,3,0.666666666666667,"1"
1,"Congruent VE",2,1,0.321455025366432,0.185592145427667,0.103333333333333,3,1.36666666666667,0.160727512683216,0.0927960727138337,0.0258333333333333,3,-0.316666666666667,0.160727512683216,0.0927960727138337,0.0258333333333333,3,0.316666666666667,0.321455025366432,0.185592145427667,0.103333333333333,3,0.110648624168227,0.0638830129489874,0.0122431180303215,3,-0.174292915093446,0.110648624168227,0.0638830129489874,0.0122431180303215,3,0.174292915093446,"1"
3,"Congruent VE",2,1,0.152752523165195,0.0881917103688197,0.0233333333333333,3,0.333333333333333,0.0763762615825973,0.0440958551844099,0.00583333333333333,3,-0.833333333333333,0.0763762615825973,0.0440958551844099,0.00583333333333333,3,0.833333333333333,0.152752523165195,0.0881917103688197,0.0233333333333333,3,0.199407977826054,0.115128249676431,0.0397635416206762,3,-0.80865624409076,0.199407977826054,0.115128249676431,0.0397635416206762,3,0.80865624409076,"1"
7,"Congruent VE",2,1,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.466666666666667,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,-0.766666666666667,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,0.766666666666667,0.0577350269189626,0.0333333333333334,0.00333333333333334,3,0.0559510220973715,0.0323033376693521,0.00313051687374055,3,-0.634363328997315,0.0559510220973715,0.0323033376693521,0.00313051687374055,3,0.634363328997315,"1"
9,"Congruent VE",2,1,0.577350269189626,0.333333333333333,0.333333333333333,3,0.833333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,-0.583333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.583333333333333,0.577350269189626,0.333333333333333,0.333333333333333,3,0.275466084848489,0.159040418239887,0.075881563901755,3,-0.443019573088075,0.275466084848489,0.159040418239887,0.075881563901755,3,0.443019573088075,"1"
11,"Congruent VE",2,1,0.577350269189626,0.333333333333333,0.333333333333333,3,1.66666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3,-0.166666666666667,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.166666666666667,0.577350269189626,0.333333333333333,0.333333333333333,3,0.173799749030751,0.100343331887994,0.0302063527631522,3,-0.100343331887994,0.173799749030751,0.100343331887994,0.0302063527631522,3,0.100343331887994,"1"
12,"Congruent VE",2,1,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.433333333333333,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,-0.783333333333333,0.0288675134594813,0.0166666666666667,0.000833333333333335,3,0.783333333333333,0.0577350269189626,0.0333333333333334,0.00333333333333334,3,0.0559510220973715,0.0323033376693521,0.00313051687374055,3,-0.666666666666667,0.0559510220973715,0.0323033376693521,0.00313051687374055,3,0.666666666666667,"1"
14,"Congruent VE",2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3,0,0,0,3,-0.602059991327962,0,0,0,3,0.602059991327962,"1"
16,"Congruent VE",2,1,0,0,0,3,1,0,0,0,3,-0.5,0,0,0,3,0.5,0,0,0,3,0,0,0,3,-0.301029995663981,0,0,0,3,0.301029995663981,"1"
18,"Congruent VE",2,1,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.833333333333333,0.144337567297406,0.0833333333333333,0.0208333333333333,3,-0.583333333333333,0.144337567297406,0.0833333333333333,0.0208333333333333,3,0.583333333333333,0.288675134594813,0.166666666666667,0.0833333333333333,3,0.173799749030751,0.100343331887994,0.0302063527631522,3,-0.401373327551975,0.173799749030751,0.100343331887994,0.0302063527631522,3,0.401373327551975,"1"
22,"Congruent VE",2,1,2.46644143115812,1.42400062421959,6.08333333333333,3,2.16666666666667,1.23322071557906,0.712000312109794,1.52083333333333,3,0.0833333333333333,0.520416499866533,0.300462606288666,0.270833333333333,3,0.916666666666667,1.04083299973307,0.600925212577332,1.08333333333333,3,0.51302666032916,0.296196080442496,0.263196354208492,3,-0.168383326106635,0.153663906101451,0.0887178975524021,0.0236125960383555,3,0.433676665221327,"1"
24,"Congruent VE",2,1,0.115470053837925,0.0666666666666667,0.0133333333333333,3,0.433333333333333,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,-0.783333333333333,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.783333333333333,0.115470053837925,0.0666666666666667,0.0133333333333333,3,0.128084435310385,0.0739495832054521,0.0164056225687803,3,-0.676009574533414,0.128084435310385,0.0739495832054521,0.0164056225687803,3,0.676009574533414,"1"
26,"Congruent VE",2,1,0.115470053837925,0.0666666666666667,0.0133333333333333,3,0.466666666666667,0.0577350269189626,0.0333333333333334,0.00333333333333334,3,-0.766666666666667,0.0577350269189626,0.0333333333333334,0.00333333333333334,3,0.766666666666667,0.115470053837925,0.0666666666666667,0.0133333333333334,3,0.101666335817738,0.0586970863518937,0.010336043838605,3,-0.640272917984125,0.101666335817738,0.0586970863518937,0.010336043838605,3,0.640272917984125,"1"
28,"Congruent VE",2,1,0,0,0,3,2,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,"1"
30,"Congruent VE",2,1,0,0,0,3,0.5,0,0,0,3,-0.75,0,0,0,3,0.75,0,0,0,3,0,0,0,3,-0.602059991327962,0,0,0,3,0.602059991327962,"1"
32,"Congruent VE",2,1,0.115470053837925,0.0666666666666667,0.0133333333333333,3,0.433333333333333,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,-0.783333333333333,0.0577350269189626,0.0333333333333333,0.00333333333333333,3,0.783333333333333,0.115470053837925,0.0666666666666667,0.0133333333333333,3,0.128084435310385,0.0739495832054521,0.0164056225687803,3,-0.676009574533414,0.128084435310385,0.0739495832054521,0.0164056225687803,3,0.676009574533414,"1"
