"subject","room_condition","dimension","value","block","experiment"
1,"Congruent VE","Depth",10,1,1
1,"Congruent VE","Width",5,1,1
1,"Congruent VE","Height",2.8,1,1
2,"Congruent VE","Depth",11,2,1
2,"Congruent VE","Width",6.5,2,1
2,"Congruent VE","Height",4,2,1
3,"Congruent VE","Depth",10,1,1
3,"Congruent VE","Width",5,1,1
3,"Congruent VE","Height",4,1,1
4,"Congruent VE","Height",5,2,1
5,"Congruent VE","Depth",15,1,1
5,"Congruent VE","Height",4,1,1
6,"Congruent VE","Depth",8,2,1
6,"Congruent VE","Width",3,2,1
6,"Congruent VE","Height",3,2,1
7,"Congruent VE","Depth",7,1,1
7,"Congruent VE","Width",4,1,1
7,"Congruent VE","Height",3,1,1
8,"Congruent VE","Depth",11,2,1
8,"Congruent VE","Width",8,2,1
8,"Congruent VE","Height",4,2,1
9,"Congruent VE","Depth",8,1,1
9,"Congruent VE","Width",7,1,1
9,"Congruent VE","Height",5,1,1
10,"Congruent VE","Depth",9.5,2,1
10,"Congruent VE","Height",3.5,2,1
11,"Congruent VE","Depth",8,1,1
11,"Congruent VE","Width",5,1,1
11,"Congruent VE","Height",3.5,1,1
12,"Congruent VE","Depth",10,1,1
12,"Congruent VE","Height",2.5,1,1
13,"Congruent VE","Depth",7,2,1
13,"Congruent VE","Width",5,2,1
13,"Congruent VE","Height",4,2,1
14,"Congruent VE","Depth",6,1,1
14,"Congruent VE","Width",4,1,1
14,"Congruent VE","Height",2.5,1,1
15,"Congruent VE","Depth",9,2,1
15,"Congruent VE","Width",5,2,1
15,"Congruent VE","Height",5,2,1
16,"Congruent VE","Depth",7,1,1
16,"Congruent VE","Width",4.5,1,1
16,"Congruent VE","Height",2.5,1,1
17,"Congruent VE","Depth",4,2,1
17,"Congruent VE","Width",3,2,1
17,"Congruent VE","Height",2.1,2,1
18,"Congruent VE","Depth",15,1,1
18,"Congruent VE","Height",5,1,1
19,"Congruent VE","Depth",10,2,1
19,"Congruent VE","Width",5,2,1
19,"Congruent VE","Height",2.5,2,1
20,"Congruent VE","Depth",8,1,1
21,"Congruent VE","Depth",5.6,2,1
21,"Congruent VE","Width",3.7,2,1
21,"Congruent VE","Height",3,2,1
23,"Congruent VE","Depth",12,2,1
23,"Congruent VE","Height",3.5,2,1
24,"Congruent VE","Depth",4,1,1
24,"Congruent VE","Width",3,1,1
24,"Congruent VE","Height",2.5,1,1
25,"Congruent VE","Depth",10,2,1
25,"Congruent VE","Width",4,2,1
25,"Congruent VE","Height",4,2,1
26,"Congruent VE","Depth",4.5,1,1
26,"Congruent VE","Width",3,1,1
26,"Congruent VE","Height",2.5,1,1
